Dataset,Without any optimization,,With NEON \& VFPv3,,"With NEON, VFPv3 \& 480p resolution",
,Kalman,Double Exponential,Kalman,Double Exponential,Kalman,Double Exponential
Dataset1,724.23,771.25,366.49,377.4,202.63,218.88
Dataset2,779.72,815.77,394.02,403.65,208.63,215.34
Dataset3,705.08,748.88,362.52,365.07,189.85,210.46
Dataset4,663.63,688,333.38,338.04,165.11,195.32
Dataset5,681.18,693.22,328.21,227.79,176.29,200.94
Dataset6,676.82,682.87,327.75,339.89,177.66,192.85
Dataset7,676.97,694.45,330.85,337.21,174.03,199.44
Dataset8,674.89,684,334.77,340.85,179.18,199.3
Dataset9,659,678.38,331.22,333.42,196.25,192.08
Dataset10,679.25,679.13,335.62,338.54,183.69,198.23
,,,,,,
Average,692.077,771.25,344.483,340.186,185.332,202.284
