Ball X Coordinates,Ball Y coordinate,euc dist
454,183,26.40
470,162,20.51
485,148,8.06
493,149,6.32
499,151,6.70
505,154,8.94
513,158,10
521,164,11.40
530,171,12.72
539,180,12.72
548,189,14.86
558,200,
568,212,
577,226,
588,241,
600,258,
610,276,
623,297,
635,321,
648,345,
,,
691,431,
701,422,
711,414,
715,408,
715,404,
713,402,
712,400,
711,398,
709,398,
707,402,
707,404,
704,411,
702,418,
701,423,
694,425,
687,423,
679,423,
672,423,
665,425,
662,427,
656,431,
,,
600,259,
594,228,
588,200,
592,193,
,,
719,409,1.414
718,408,
,,
499,247,41.77
468,219,20.59
450,209,
