Dataset,Kalman,,,,Double Exponential,,,
,Pre-Processing,Detection,Tracking,Total,Pre-Processing,Detection,Tracking,Total
D1,117.92,12.45,3.33,202.63,127.87,12.75,1.8,218.88
D2,119.71,14.19,3.58,208.63,124.4,14.29,1.7,215.34
D3,108.95,12.32,3.74,189.85,118.78,15.41,1.64,210.46
D4,95.16,9.91,2.68,165.11,114.06,11.08,1.42,195.32
D5,101.96,11.73,2.09,176.29,114.48,12.78,0.8,200.94
D6,103,12.44,2.68,177.66,110.13,13.08,1.42,192.85
D7,100.22,10.66,2.66,174.03,114.32,12.12,1.47,199.44
D8,106.5,10.2,2.68,179.18,114.93,12.72,1.56,199.3
D9,115.77,11.37,2.96,196.25,107.77,12.93,1.39,192.08
D10,106.53,12.22,2.71,183.69,112.84,12.95,1.49,198.23
