Dataset,Kalman,,,,Double Exponential,,,
,Pre-Processing,Detection,Tracking,Total,Pre-Processing,Detection,Tracking,Total
D1,662.31,22.94,3.43,724.23,706.4,24.03,1.58,771.25
D2,711.18,26.26,2.58,779.72,744.65,28,1.29,815.77
D3,640.52,25.27,2.94,705.08,683.02,25.67,1.49,748.88
D4,605.6,22.5,2.43,663.63,629.12,22.58,1.01,688
D5,621.38,23.54,2.61,681.18,632.67,23.76,1.01,693.22
D6,618.74,21.08,2.81,676.82,623.63,22.06,1.53,682.87
D7,619.01,21.84,2.84,676.97,634.34,22.29,1.62,694.45
D8,617.05,21.76,2.32,674.89,625.93,22.12,1.19,684
D9,601.5,21.31,2.71,659,620.85,21.51,1.52,678.38
D10,619.55,22.93,2.31,679.25,620.79,22.79,1.14,679.13
